UF,Município,ICM_Classification
MG,Itabirito,A
MT,Cuiabá,A
MG,Espera Feliz,A
MG,Governador Valadares,A
MG,Juiz de Fora,A
RJ,Angra dos Reis,A
RJ,Cachoeiras de Macacu,A
RJ,Macaé,A
RJ,Mangaratiba,A
RJ,Niterói,A
SP,Itápolis,A
SP,Santo André,A
PR,Curitiba,A
SC,Brusque,A
SC,Xanxerê,A
RS,Cachoeira do Sul,A
RS,Canoas,A
RS,Pelotas,A
MT,Sorriso,A
AC,Rio Branco,A
AM,Manaus,A
PA,Parauapebas,A
TO,Araguaína,A
CE,Quixeramobim,A
PB,Boa Ventura,A
PE,Caruaru,A
BA,Candeias,A
BA,Salvador,A
MG,Cristina,A
MG,Rochedo de Minas,A
ES,João Neiva,A
ES,Santa Maria de Jetibá,A
ES,Vitória,A
RJ,Belford Roxo,A
RJ,Maricá,A
RJ,Nova Friburgo,A
RJ,Petrópolis,A
SP,Americana,A
SP,Botucatu,A
SP,Campinas,A
SP,Guarulhos,A
SP,Itapetininga,A
SP,Jundiaí,A
SP,Poá,A
SP,São Bernardo do Campo,A
SP,São Paulo,A
PR,Quatro Barras,A
PR,Rio Negro,A
SC,Blumenau,A
SC,Itajaí,A
RS,Santo Ângelo,A
MT,Chapada dos Guimarães,A
TO,Porto Nacional,A
TO,Palmas,A
PE,Jaboatão dos Guararapes,A
BA,Eunápolis,A
BA,Sobradinho,A
MG,Araguari,A
MG,Contagem,A
MG,Guiricema,A
MG,Itapecerica,A
MG,João Monlevade,A
MG,Poços de Caldas,A
ES,Montanha,A
RJ,Itatiaia,A
RJ,Nova Iguaçu,A
RJ,São Pedro da Aldeia,A
SP,Cordeirópolis,A
SP,Cubatão,A
SP,Paulínia,A
SP,Pederneiras,A
SP,Pindamonhangaba,A
SP,Salto,A
SP,Vinhedo,A
SC,Balneário Camboriú,A
RS,Charrua,A
CE,Uruburetama,A
PB,Santo André,A
MG,Cláudio,A
MG,Itutinga,A
PR,Cascavel,A
SC,Sombrio,A
RN,Tangará,A
BA,Alagoinhas,A
MG,Conceição das Alagoas,A
MG,Extrema,A
MG,Felício dos Santos,A
MG,Ibiraci,A
MG,São José do Alegre,A
ES,Boa Esperança,A
SP,Batatais,A
SP,Birigui,A
SP,Caçapava,A
SP,Itapeva,A
SP,Mogi Guaçu,A
SP,Morungaba,A
SP,Nova Odessa,A
PR,Colorado,A
SC,Chapecó,A
SC,Galvão,A
RS,Farroupilha,A
RS,Santo Expedito do Sul,A
RS,Veranópolis,A
MS,Costa Rica,A
MT,Tangará da Serra,A
PA,Pau DArco,A
CE,Ubajara,A
MG,Carmo do Cajuru,A
MG,Felisburgo,A
MG,Guaranésia,A
MG,Igarapé,A
MG,Ouro Branco,A
MG,Rosário da Limeira,A
MG,São Geraldo do Baixio,A
SP,Araras,A
SP,Fernandópolis,A
SP,Iperó,A
SP,Matão,A
SP,Santa Cruz das Palmeiras,A
SP,Votuporanga,A
PR,Boa Esperança do Iguaçu,A
PR,Enéas Marques,A
PR,Lapa,A
PR,Nova Cantu,A
PR,Ortigueira,A
PR,Rio Branco do Ivaí,A
PR,Santa Lúcia,A
PR,Sapopema,A
SC,Luzerna,A
SC,São Miguel do Oeste,A
SC,Treviso,A
RS,São Francisco de Paula,A
RS,Sapiranga,A
MS,Chapadão do Sul,A
PA,Ourém,A
TO,Miracema do Tocantins,A
MA,São João Batista,A
PI,Nossa Senhora de Nazaré,A
PI,Oeiras,A
PB,Nova Palmeira,A
PE,Brejo da Madre de Deus,A
AL,Água Branca,A
AL,Boca da Mata,A
SE,Barra dos Coqueiros,A
SE,General Maynard,A
BA,Barreiras,A
MG,Cabeceira Grande,A
MG,Curvelo,A
MG,Frutal,A
MG,Itaguara,A
MG,Monte Sião,A
MG,Nova Serrana,A
MG,Ouro Fino,A
MG,Paracatu,A
MG,Pará de Minas,A
MG,Rio Pomba,A
MG,Santa Cruz do Escalvado,A
MG,Soledade de Minas,A
MG,Vazante,A
ES,Pinheiros,A
RJ,Duas Barras,A
RJ,Porto Real,A
RJ,Quissamã,A
RJ,Vassouras,A
SP,Aguaí,A
SP,Artur Nogueira,A
SP,Garça,A
SP,Ilha Solteira,A
SP,Jaguariúna,A
SP,Olímpia,A
SP,Parisi,A
SP,Porto Feliz,A
SP,Sarapuí,A
SP,Vargem Grande Paulista,A
PR,Cianorte,A
PR,Corbélia,A
PR,Coronel Vivida,A
PR,Cruzeiro do Oeste,A
PR,Figueira,A
PR,Realeza,A
PR,Telêmaco Borba,A
PR,Toledo,A
PR,Ubiratã,A
SC,Salto Veloso,A
SC,Vargeão,A
RS,Antônio Prado,A
RS,Arroio dos Ratos,A
RS,Chiapetta,A
RS,Guaporé,A
RS,Ijuí,A
MT,Poconé,A
GO,Inhumas,A
PA,Conceição do Araguaia,A
MA,Estreito,A
CE,Camocim,A
CE,Itaitinga,A
RN,Riacho de Santana,A
PB,Dona Inês,A
AL,Teotônio Vilela,A
SE,Propriá,A
BA,Capim Grosso,A
BA,Luís Eduardo Magalhães,A
BA,Poções,A
MG,Itaúna,A
MG,Muzambinho,A
MG,Passa Quatro,A
MG,Presidente Juscelino,A
MG,Rio Doce,A
MG,Rio Novo,A
MG,Setubinha,A
RJ,Carmo,A
RJ,Pinheiral,A
RJ,Quatis,A
RJ,São José de Ubá,A
SP,Agudos,A
SP,Arco-Íris,A
SP,Canas,A
SP,Capela do Alto,A
SP,Catanduva,A
SP,Cerquilho,A
SP,Indaiatuba,A
SP,Itaí,A
SP,Jaboticabal,A
SP,Luís Antônio,A
SP,Martinópolis,A
SP,Monteiro Lobato,A
SP,Salto de Pirapora,A
SP,São Manuel,A
SP,Taubaté,A
SP,Tupã,A
SP,Valentim Gentil,A
PR,Alvorada do Sul,A
PR,Assaí,A
PR,Braganey,A
PR,Espigão Alto do Iguaçu,A
PR,Itapejara dOeste,A
PR,Jaboti,A
PR,Jandaia do Sul,A
PR,Nova Prata do Iguaçu,A
PR,Pinhão,A
PR,Quedas do Iguaçu,A
PR,Rio Bonito do Iguaçu,A
PR,São Jorge dOeste,A
PR,Siqueira Campos,A
PR,Terra Rica,A
PR,Tibagi,A
SC,Anchieta,A
SC,Barra Bonita,A
SC,Descanso,A
SC,Frei Rogério,A
SC,Nova Itaberaba,A
SC,Ponte Alta do Norte,A
SC,Tunápolis,A
RS,Barra do Quaraí,A
RS,Brochier,A
RS,Capão da Canoa,A
RS,Carlos Barbosa,A
RS,Relvado,A
RS,São José do Norte,A
RS,São Valentim,A
RS,São Valentim do Sul,A
RS,Selbach,A
RS,Tiradentes do Sul,A
RS,Três Cachoeiras,A
MS,Bandeirantes,A
MS,Guia Lopes da Laguna,A
MT,Juína,A
GO,Bonfinópolis,A
GO,Silvânia,A
RO,Ouro Preto do Oeste,A
AM,São Sebastião do Uatumã,A
PA,Mãe do Rio,A
CE,Paracuru,A
PB,Conde,A
PB,Guarabira,A
PB,Queimadas,A
PE,Carpina,A
PE,Condado,A
PE,Paranatama,A
PE,Sairé,A
PE,Solidão,A
PE,Terra Nova,A
PE,Tupanatinga,A
AL,Coité do Nóia,A
AL,Pão de Açúcar,A
SE,Cristinápolis,A
SE,Indiaroba,A
SE,Itabaianinha,A
SE,Itaporanga dAjuda,A
SE,Riachuelo,A
BA,Amélia Rodrigues,A
BA,Cruz das Almas,A
BA,Irará,A
MG,Alto Rio Doce,A
MG,Bela Vista de Minas,A
MG,Brasilândia de Minas,A
MG,Guaxupé,A
MG,Itatiaiuçu,A
MG,Lagoa Santa,A
MG,Monte Santo de Minas,A
MG,São Gotardo,A
RJ,Arraial do Cabo,A
RJ,Iguaba Grande,A
SP,Angatuba,A
SP,Cabrália Paulista,A
SP,Capão Bonito,A
SP,Catiguá,A
SP,Itapira,A
SP,Macatuba,A
SP,Osvaldo Cruz,A
SP,Presidente Epitácio,A
PR,Amaporã,A
PR,Carlópolis,A
PR,Catanduvas,A
PR,Fênix,A
PR,Marechal Cândido Rondon,A
PR,Palmas,A
PR,Paulo Frontin,A
PR,Roncador,A
PR,São Manoel do Paraná,A
PR,Terra Boa,A
PR,Três Barras do Paraná,A
PR,Wenceslau Braz,A
SC,Água Doce,A
SC,Arvoredo,A
SC,Catanduvas,A
